title,map,url,comment,lat,lng,address
Burgtheater,1,https://www.google.com/maps/place/Burgtheater/data=!4m2!3m1!1s0x476d079648c523cf:0x3a513446d5a96a5e,,48.21029619999999,16.36146,"Universitätsring 2, 1010 Wien, Austria"
Wien Museum Beethoven Pasqualatihaus,1,https://www.google.com/maps/place/Wien+Museum+Beethoven+Pasqualatihaus/data=!4m2!3m1!1s0x476d07bd9ae21931:0xdffb49787998e9f3,,48.212446,16.3622924,"Mölker Bastei 8, 1010 Wien, Austria"
Palais Daun-Kinsky,1,https://www.google.com/maps/place/Palais+Daun-Kinsky/data=!4m2!3m1!1s0x476d07bd60a5f251:0x924ecb678d55a97,,48.2117089,16.3642487,"Freyung 4, 1010 Wien, Austria"
Schottenstift,1,https://www.google.com/maps/place/Schottenstift/data=!4m2!3m1!1s0x476d07bd6842e9e5:0xc6b79e523c70b3f6,,48.20806959999999,16.3713095,"Vienna, Austria"
Juridicum,1,https://www.google.com/maps/place/Juridicum/data=!4m2!3m1!1s0x476d07bce2488ea9:0x4693dc3f6282252e,,48.2139929,16.3654288,"Schottenbastei 10-16, 1010 Wien, Austria"
Börse Büros am Ring,1,https://www.google.com/maps/place/B%C3%B6rse+B%C3%BCros+am+Ring/data=!4m2!3m1!1s0x476d07bcc073e029:0xd00a4ac74c503bca,,48.2152021,16.366467,"Wipplingerstraße 34, 1010 Wien, Austria"
Veggiezz,2,https://www.google.com/maps/place/Veggiezz/data=!4m2!3m1!1s0x476d078769cc826f:0xf0dee97c2b9adf98,,48.2129363,16.3722996,"Salzgries 9, 1010 Wien, Austria"
Katholische Kirche Maria am Gestade,2,https://www.google.com/maps/place/Katholische+Kirche+Maria+am+Gestade/data=!4m2!3m1!1s0x476d07a2504b5aff:0x239bee91415d837d,,48.2129838,16.3701764,"Salvatorgasse 12, 1010 Wien, Austria"
Spielplatz im Hermann-Gmeiner-Park,1,https://www.google.com/maps/place/Spielplatz+im+Hermann-Gmeiner-Park/data=!4m2!3m1!1s0x476d0751bb78938d:0x24be8d4561efc0fc,,48.2145539,16.3674372,"Innere Stadt, 1010 Wien, Austria"
Schleusenpark,1,https://www.google.com/maps/place/Schleusenpark/data=!4m2!3m1!1s0x476d074dc3851a39:0xe0ceead6fedddc3f,,48.2172345,16.3722545,"Schleusenpark, Franz-Josefs-Kai, 1010 Wien, Austria"
Spielplatz Rudolfspark,2,https://www.google.com/maps/place/Spielplatz+Rudolfspark/data=!4m2!3m1!1s0x476d07a39dcd80c9:0x71416665316c60f,,48.2145345,16.3716225,"Rudolfspl. 1, 1010 Wien, Austria"
